state,county,homepage,kind,owner,link_text,url
FL,lafayette,https://lafayettevotes.net/,privacy,county,Privacy Policy,https://lafayettevotes.net/privacy-policy/
FL,lafayette,https://lafayettevotes.net/,terms,county,Terms and Conditions,https://lafayettevotes.net/terms-and-conditions/
FL,lake,https://www.lakevotes.gov,records,other-host,Public Records Requests,https://lakecountysoefl.nextrequest.com/
FL,lake,https://www.lakevotes.gov,accessibility,county,Accessibility,https://www.lakevotes.gov/site/accessibility
FL,lake,https://www.lakevotes.gov,copyright,county,Copyright Notices,https://www.lakevotes.gov/copyright
FL,lake,https://www.lakevotes.gov,privacy,county,Privacy Policy,https://www.lakevotes.gov/site/privacy
FL,lee,https://www.lee.vote,records,county,Public Records Request,https://www.lee.vote/302/Public-Records-Request
FL,leon,https://www.leonvotes.gov/,records,county,Public Records Request,https://www.leonvotes.gov/Records/Public-Records-Request
FL,leon,https://www.leonvotes.gov/,records,county,Public Records Request Policy,https://www.leonvotes.gov/Records/Public-Records-Request/Public-Records-Request-Policy
FL,leon,https://www.leonvotes.gov/,privacy,county,Privacy Policy,https://www.leonvotes.gov/Privacy-Policy
FL,leon,https://www.leonvotes.gov/,accessibility,county,Accessibility,https://www.leonvotes.gov/Voting/Accessible-Voting
FL,levy,https://www.votelevy.gov/,records,county,Public Records Request,https://www.votelevy.gov/resources/public-records-request/
FL,levy,https://www.votelevy.gov/,privacy,county,Privacy Policy,https://www.votelevy.gov/privacy-policy/
FL,levy,https://www.votelevy.gov/,accessibility,county,Accessibility Policy,https://www.votelevy.gov/accessibility-policy/
FL,liberty,https://libertycountyflsoe.gov,accessibility,county,Accessibility Statement,https://libertycountyflsoe.gov/supervisor-of-elections/accessibility-statement/
FL,liberty,https://libertycountyflsoe.gov,privacy,county,Privacy Policy,https://libertycountyflsoe.gov/privacy-policy/
FL,liberty,https://libertycountyflsoe.gov,terms,county,Terms of Use,https://libertycountyflsoe.gov/terms-of-use/
FL,madison,https://www.votemadison.com,privacy,county,Privacy Policy,https://www.votemadison.com/privacy-policy/
FL,madison,https://www.votemadison.com,accessibility,county,Accessibility Policy,https://www.votemadison.com/accessibility-policy/
FL,manatee,https://www.votemanatee.gov,disclaimer,county,Legal Notices,https://www.votemanatee.gov/legal-notices/
FL,manatee,https://www.votemanatee.gov,records,county,Public Records Request Form,https://www.votemanatee.gov/wp-content/uploads/2026/03/Data-Form-02-02-2024.pdf
FL,manatee,https://www.votemanatee.gov,accessibility,county,Website Accessibility,https://www.votemanatee.gov/accessibility/
FL,marion,https://www.votemarion.gov,accessibility,county,Accessibility,https://www.votemarion.gov/site/accessibility
FL,marion,https://www.votemarion.gov,copyright,county,Copyright Notices,https://www.votemarion.gov/copyright
FL,marion,https://www.votemarion.gov,privacy,county,Privacy Policy,https://www.votemarion.gov/site/privacy
FL,miami-dade,https://www.votemiamidade.gov/elections/home.page,disclaimer,county,News & Legal Notices,https://www.votemiamidade.gov/elections/news/home.page
FL,miami-dade,https://www.votemiamidade.gov/elections/home.page,disclaimer,county,Legal Notices,https://www.votemiamidade.gov/elections/news/legal-ads.page?ORGANIZATION=org146299202858021
FL,miami-dade,https://www.votemiamidade.gov/elections/home.page,privacy,county,Privacy Statement,https://www.votemiamidade.gov/elections/privacy-and-security.page
FL,miami-dade,https://www.votemiamidade.gov/elections/home.page,accessibility,county,ADA Notice,https://www.votemiamidade.gov/elections/ada-notice.page
FL,miami-dade,https://www.votemiamidade.gov/elections/home.page,disclaimer,county,Disclaimer,https://www.votemiamidade.gov/elections/disclaimer.page
FL,monroe,https://www.votemonroeflkeys.gov/,records,county,Public Records Request,https://www.votemonroeflkeys.gov/Quick-Links/Public-Records-Request
FL,nassau,https://www.votenassaufl.gov,accessibility,county,Accessibility Policy,https://www.votenassaufl.gov/accessibility-policy
FL,nassau,https://www.votenassaufl.gov,privacy,county,Privacy Policy,https://www.votenassaufl.gov/privacy-policy
FL,nassau,https://www.votenassaufl.gov,privacy,county,Privacy Policy,https://www.votenassaufl.gov/privacy-policy0ffe1c31
FL,nassau,https://www.votenassaufl.gov,terms,county,Terms of Service,https://www.votenassaufl.gov/terms-of-service
FL,okaloosa,https://www.voteokaloosa.gov,records,county,Public Records Request,https://www.voteokaloosa.gov/resources/public-records-request/
FL,okaloosa,https://www.voteokaloosa.gov,privacy,county,Privacy Policy,https://www.voteokaloosa.gov/privacy-policy/
FL,okaloosa,https://www.voteokaloosa.gov,accessibility,county,Accessibility Policy,https://www.voteokaloosa.gov/accessibility-policy/
FL,okeechobee,https://voteokeechobee.gov/,accessibility,other-host,,https://soesoftware.com/election-website-accessibility-best-practices/
FL,okeechobee,https://voteokeechobee.gov/,accessibility,other-host,Accessibility Policy,https://soesoftware.com/accessibility-management/
FL,orange,https://voteorangefl.gov/,disclaimer,county,"News & Legal Ads Stay up to date with official announcements, press releases, and legal notices.",https://voteorangefl.gov/news-legal-ads/
FL,orange,https://voteorangefl.gov/,disclaimer,county,Disclaimer Review important legal information about this website.,https://voteorangefl.gov/disclaimer/
FL,orange,https://voteorangefl.gov/,accessibility,county,Accessibility Learn about voting options and resources for voters with disabilities.,https://voteorangefl.gov/accessibility/
FL,orange,https://voteorangefl.gov/,records,county,Submit A Public Records Request,https://voteorangefl.gov/submit-a-public-records-request/
FL,osceola,https://www.voteosceola.gov/en-us/,records,other-host,Make a Public Records Request,https://voteosceola.justfoia.com/publicportal/home/newrequest
FL,palm_beach,https://www.votepalmbeach.gov,records,other-host,Public Records Request,https://palm-beach-county-soe-fl.nextrequest.com/
FL,palm_beach,https://www.votepalmbeach.gov,accessibility,county,Accessibility,https://www.votepalmbeach.gov/site/accessibility
FL,palm_beach,https://www.votepalmbeach.gov,copyright,county,Copyright Notices,https://www.votepalmbeach.gov/copyright
FL,palm_beach,https://www.votepalmbeach.gov,privacy,county,Privacy Policy,https://www.votepalmbeach.gov/site/privacy
FL,pasco,https://www.pascovotes.gov,accessibility,county,Accessibility Policy,https://www.pascovotes.gov/supervisor_of_elections/accessibility_policy.php
FL,pasco,https://www.pascovotes.gov,records,county,Public Records Policy,https://www.pascovotes.gov/Documents/Supervisor Of Elections/PublicRecordsRequests.pdf
FL,pasco,https://www.pascovotes.gov,records,county,Public Records Policy (pdf),https://www.pascovotes.gov/Documents/Supervisor%20Of%20Elections/PublicRecordsRequests.pdf
FL,pasco,https://www.pascovotes.gov,disclaimer,county,Disclaimer of Privacy Policy,https://www.pascovotes.gov/privacy_policy/index.php
FL,pinellas,https://www.votepinellas.gov,accessibility,county,Accessibility,https://www.votepinellas.gov/site/accessibility
FL,pinellas,https://www.votepinellas.gov,copyright,county,Copyright Notices,https://www.votepinellas.gov/374/Copyright-Notice
FL,pinellas,https://www.votepinellas.gov,privacy,county,Privacy Policy,https://www.votepinellas.gov/site/privacy
FL,polk,https://www.polkelections.gov,accessibility,county,Accessibility,https://www.polkelections.gov/site/accessibility
FL,polk,https://www.polkelections.gov,copyright,county,Copyright Notices,https://www.polkelections.gov/copyright
FL,polk,https://www.polkelections.gov,privacy,county,Privacy Policy,https://www.polkelections.gov/site/privacy
FL,putnam,https://www.voteputnamflorida.gov/,records,county,Public Records Requests,https://www.voteputnamflorida.gov/resources/public_records_requests.php
