state,name,authority,office,homepage
FL,Florida,Florida Department of State — Division of Elections,Secretary of State (appointed),https://dos.fl.gov/elections/
TX,Texas,Texas Secretary of State — Elections Division,Secretary of State (appointed),https://www.sos.state.tx.us/elections/index.shtml
